Module	Section	Sample Name	Source
Picard	DuplicationMetrics	20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/e8dab45e-af35-497d-815f-6c106be9d237/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-9-Heart-002-piece_S9_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/708bf045-4a56-477a-be60-370b8be1de3a/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-9-Heart-002-piece_S9_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/dbeaf5ae-0639-4b23-871e-a5f782f1568d/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-13-Adipose-002-piece_S13_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-10-Heart-002-powder_S10_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/71140807-282d-408a-91d9-9ce6d05278d4/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-10-Heart-002-powder_S10_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180404-3-muscle-1-5_S16_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/4b6d760a-76d6-4401-b5e4-a71284ee1f35/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180404-3-muscle-1-5_S16_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/65c59380-c970-4bf2-8dc9-8c07c430aa3f/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/896dc1dc-c08a-4960-8342-3d885af604c4/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180725-4-Liver-002-piece_S4_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/ad1b3acd-9efe-45ec-ac15-9798af4dda48/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-4-Liver-002-piece_S4_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180720-5-muscle-frozen_S15_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/cb16b727-87cd-4a4f-a0e2-cfe0272ba4c9/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180720-5-muscle-frozen_S15_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-12-Lung-002-powder_S12_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/f40ee617-e6b8-43af-b0cf-ea5a5cc506f9/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-12-Lung-002-powder_S12_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180731-8-Liver-001-powder_S8_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/f64f6e21-7a98-4d44-a4c1-9508a96687a8/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180731-8-Liver-001-powder_S8_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180725-6-Liver-002-powder_S6_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/cromwell-executions/atac/53abf702-deba-405b-b5cf-5d8048633318/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-6-Liver-002-powder_S6_L001_R1_001.trim.merged.dup.qc
