Sample	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_none	paired_aligned_mate_multi	paired_aligned_discord_one	paired_aligned_mate_one	paired_total	paired_aligned_mate_none_halved	paired_aligned_multi	paired_aligned_one	total_reads	paired_aligned_mate_one_halved	paired_aligned_mate_none
20180404-3-muscle-1-5_S16_L001_R1_001.trim	98.97	208086.5	1136916	416173	239840	178844	58432552	599567.5	23347028	33948608	58432552	89422.0	1199135
20180720-5-muscle-frozen_S15_L001_R1_001.trim	98.64	147905.0	859209	295810	138169	118832	37768047	513719.0	15668404	21240434	37768047	59416.0	1027438
20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	98.88	51096.5	258974	102193	41011	57264	12292039	138234.5	3711875	8321190	12292039	28632.0	276469
20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	95.67	66559.5	853031	133119	48346	57892	16390749	709179.5	6262535	9275183	16390749	28946.0	1418359
20180725-4-Liver-002-piece_S4_L001_R1_001.trim	98.79	145818.0	847608	291636	170628	128599	38650484	466862.5	14293755	23509121	38650484	64299.5	933725
20180725-5-Liver-002-powder_S5_L001_R1_001.trim	98.9	92143.5	501296	184287	81333	84732	25871909	285453.5	8970747	16399866	25871909	42366.0	570907
20180725-6-Liver-002-powder_S6_L001_R1_001.trim	98.78	102270.0	631493	204540	96427	95953	31651734	384819.5	10623624	20396617	31651734	47976.5	769639
20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	98.45	100189.5	680768	200379	106423	102476	27303260	422917.5	9523427	17099065	27303260	51238.0	845835
20180731-8-Liver-001-powder_S8_L001_R1_001.trim	98.68	107294.0	721113	214588	146923	114065	31166327	409863.5	9171735	21273479	31166327	57032.5	819727
20180815-10-Heart-002-powder_S10_L001_R1_001.trim	98.98	141196.5	707636	282393	139636	113961	36318470	369823.0	15467365	20143469	36318470	56980.5	739646
20180815-11-Lung-002-piece_S11_L001_R1_001.trim	98.9	119416.5	566791	238833	94131	128878	26210996	288804.5	8826624	16817581	26210996	64439.0	577609
20180815-12-Lung-002-powder_S12_L001_R1_001.trim	98.82	125534.0	638492	251068	114535	136950	28051628	329948.0	9363384	18049752	28051628	68475.0	659896
20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	98.96	147722.0	769242	295444	162689	106137	39169925	405762.5	18016812	20383871	39169925	53068.5	811525
20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	99.06	118858.5	574337	237717	136452	79406	29650561	279323.5	13440031	15636193	29650561	39703.0	558647
20180815-9-Heart-002-piece_S9_L001_R1_001.trim	57.69	246535.5	18068414	493071	104754	278657	41542623	17577796.0	11197506	12276703	41542623	139328.5	35155592
Undetermined_S0_L001_R1_001.trim	83.63	940221.5	2958975	1880443	148515	915395	8629889	1412541.0	2278888	3392026	8629889	457697.5	2825082
merge_fastqs_R1_20180404-3-muscle-1-5_S16_L001_R1_001.trim	98.97						58432552				58432552		
merge_fastqs_R1_20180720-5-muscle-frozen_S15_L001_R1_001.trim	98.64						37768047				37768047		
merge_fastqs_R1_20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	98.88						12292039				12292039		
merge_fastqs_R1_20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	95.67						16390749				16390749		
merge_fastqs_R1_20180725-4-Liver-002-piece_S4_L001_R1_001.trim	98.79						38650484				38650484		
merge_fastqs_R1_20180725-5-Liver-002-powder_S5_L001_R1_001.trim	98.9						25871909				25871909		
merge_fastqs_R1_20180725-6-Liver-002-powder_S6_L001_R1_001.trim	98.78						31651734				31651734		
merge_fastqs_R1_20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	98.45						27303260				27303260		
merge_fastqs_R1_20180731-8-Liver-001-powder_S8_L001_R1_001.trim	98.68						31166327				31166327		
merge_fastqs_R1_20180815-10-Heart-002-powder_S10_L001_R1_001.trim	98.98						36318470				36318470		
merge_fastqs_R1_20180815-11-Lung-002-piece_S11_L001_R1_001.trim	98.9						26210996				26210996		
merge_fastqs_R1_20180815-12-Lung-002-powder_S12_L001_R1_001.trim	98.82						28051628				28051628		
merge_fastqs_R1_20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	98.96						39169925				39169925		
merge_fastqs_R1_20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	99.06						29650561				29650561		
merge_fastqs_R1_20180815-9-Heart-002-piece_S9_L001_R1_001.trim	57.69						41542623				41542623		
merge_fastqs_R1_Undetermined_S0_L001_R1_001.trim	83.63						8629889				8629889		
