Sample	Samtools Flagstat_mqc-generalstats-mapped_passed	Picard_mqc-generalstats-PERCENT_DUPLICATION	Bowtie 2_mqc-generalstats-overall_alignment_rate	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
20180404-3-muscle-1-5_S16_L001_R1_001.trim	236638370	0.061406	98.97					
20180404-3-muscle-1-5_S16_merge_R1				18.1818181818	74.6228039877	10.0483074836	58468423.0	45.0
20180404-3-muscle-1-5_S16_merge_R2				18.1818181818	74.5794043906	9.86533469513	58468423.0	45.0
20180720-5-muscle-frozen_S15_L001_R1_001.trim	155461207	0.094015	98.64					
20180720-5-muscle-frozen_S15_merge_R1				18.1818181818	74.5844881144	12.9460401674	37795186.0	45.0
20180720-5-muscle-frozen_S15_merge_R2				18.1818181818	74.6013624592	12.8369403131	37795186.0	45.0
20180725-1-Gastroc-002-piece_S1_L001_R1_001.trim	1317168	0.007336	93.42					
20180725-1-Gastroc-002-piece_S1_merge_R1				18.1818181818	74.5866420728	1.00417853658	349680.0	45.0
20180725-1-Gastroc-002-piece_S1_merge_R2				18.1818181818	74.5739905056	1.63475647357	349680.0	45.0
20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	43062943	0.096787	98.88					
20180725-2-Gastroc-002-powder_S2_merge_R1				18.1818181818	74.5794354192	12.5576810131	12300382.0	47.0
20180725-2-Gastroc-002-powder_S2_merge_R2				18.1818181818	74.5575405707	12.2558768457	12300382.0	46.0
20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	64369053	0.115093	95.67					
20180725-3-Gastroc-002-powder_S3_merge_R1				18.1818181818	74.5993421855	13.2795250401	16396111.0	45.0
20180725-3-Gastroc-002-powder_S3_merge_R2				18.1818181818	74.5783445233	13.054525433	16396111.0	44.0
20180725-4-Liver-002-piece_S4_L001_R1_001.trim	141755256	0.28028	98.79					
20180725-4-Liver-002-piece_S4_merge_R1				18.1818181818	74.662764346	28.6741219453	38685186.0	47.0
20180725-4-Liver-002-piece_S4_merge_R2				18.1818181818	74.602674083	28.4142147949	38685186.0	47.0
20180725-5-Liver-002-powder_S5_L001_R1_001.trim	92123332	0.337593	98.9					
20180725-5-Liver-002-powder_S5_merge_R1				27.2727272727	74.5485274078	33.7803798018	26248373.0	46.0
20180725-5-Liver-002-powder_S5_merge_R2				18.1818181818	74.6316535505	33.4746552421	26248373.0	46.0
20180725-6-Liver-002-powder_S6_L001_R1_001.trim	111956441	0.305781	98.78					
20180725-6-Liver-002-powder_S6_merge_R1				18.1818181818	74.5063267551	30.5653153749	31929164.0	47.0
20180725-6-Liver-002-powder_S6_merge_R2				18.1818181818	74.6226459922	30.3400195497	31929164.0	46.0
20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	102125477	0.068118	98.45					
