Sample	UNMAPPED_READS	ESTIMATED_LIBRARY_SIZE	READ_PAIR_OPTICAL_DUPLICATES	READ_PAIRS_EXAMINED	UNPAIRED_READS_EXAMINED	PERCENT_DUPLICATION	LIBRARY	READ_PAIR_DUPLICATES	UNPAIRED_READ_DUPLICATES	SECONDARY_OR_SUPPLEMENTARY_RDS
20180404-3-muscle-1-5_S16_L001_R1_001.trim	0.0	311519753.0	13563.0	39705399.0	0.0	0.061406	Unknown Library	2438143.0	0.0	0.0
20180720-5-muscle-frozen_S15_L001_R1_001.trim	0.0	126079216.0	9590.0	25230157.0	0.0	0.094015	Unknown Library	2372005.0	0.0	0.0
20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	0.0	45552715.0	4567.0	9395807.0	0.0	0.096787	Unknown Library	909392.0	0.0	0.0
20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	0.0	42902903.0	4432.0	10681883.0	0.0	0.115093	Unknown Library	1229412.0	0.0	0.0
20180725-4-Liver-002-piece_S4_L001_R1_001.trim	0.0	42619960.0	9683.0	29737754.0	0.0	0.28028	Unknown Library	8334894.0	0.0	0.0
20180725-5-Liver-002-powder_S5_L001_R1_001.trim	0.0	22874682.0	6354.0	20330041.0	0.0	0.337593	Unknown Library	6863272.0	0.0	0.0
20180725-6-Liver-002-powder_S6_L001_R1_001.trim	0.0	31719214.0	8286.0	24738728.0	0.0	0.305781	Unknown Library	7564627.0	0.0	0.0
20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	0.0	138932963.0	7382.0	19740148.0	0.0	0.068118	Unknown Library	1344659.0	0.0	0.0
20180731-8-Liver-001-powder_S8_L001_R1_001.trim	0.0	57667210.0	7856.0	25335219.0	0.0	0.190942	Unknown Library	4837565.0	0.0	0.0
20180815-10-Heart-002-powder_S10_L001_R1_001.trim	0.0	27406582.0	9773.0	25766896.0	0.0	0.351927	Unknown Library	9068066.0	0.0	0.0
20180815-11-Lung-002-piece_S11_L001_R1_001.trim	0.0	103082730.0	9040.0	19590795.0	0.0	0.089662	Unknown Library	1756548.0	0.0	0.0
20180815-12-Lung-002-powder_S12_L001_R1_001.trim	0.0	116729940.0	7764.0	21105685.0	0.0	0.0855	Unknown Library	1804536.0	0.0	0.0
20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	0.0	270540407.0	6835.0	24549871.0	0.0	0.044284	Unknown Library	1087175.0	0.0	0.0
20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	0.0	191393516.0	5363.0	18847589.0	0.0	0.047918	Unknown Library	903147.0	0.0	0.0
20180815-9-Heart-002-piece_S9_L001_R1_001.trim	0.0	16258768.0	3831.0	16706747.0	0.0	0.375182	Unknown Library	6268064.0	0.0	0.0
Undetermined_S0_L001_R1_001.trim	0.0	33384204.0	1490.0	4085497.0	0.0	0.05909	Unknown Library	241413.0	0.0	0.0
