Sample	mapped_passed	duplicates_failed	secondary_passed	paired in sequencing_failed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	supplementary_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	supplementary_failed	with itself and mate mapped_failed	mapped_failed	total_passed	properly paired_failed	flagstat_total	with mate mapped to a different chr (mapQ >= 5)_passed	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	secondary_failed	singletons_failed_pct
20180404-3-muscle-1-5_S16_L001_R1_001.trim	74534512	0	0	0	0	37267256	0	37267256	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	74534512	0	74534512	0	nan	0	74534512	0	0	74534512	74534512	0	0	nan
20180720-5-muscle-frozen_S15_L001_R1_001.trim	45716304	0	0	0	0	22858152	0	22858152	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	45716304	0	45716304	0	nan	0	45716304	0	0	45716304	45716304	0	0	nan
20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	16972830	0	0	0	0	8486415	0	8486415	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	16972830	0	16972830	0	nan	0	16972830	0	0	16972830	16972830	0	0	nan
20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	18904942	0	0	0	0	9452471	0	9452471	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	18904942	0	18904942	0	nan	0	18904942	0	0	18904942	18904942	0	0	nan
20180725-4-Liver-002-piece_S4_L001_R1_001.trim	42805720	0	0	0	0	21402860	0	21402860	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	42805720	0	42805720	0	nan	0	42805720	0	0	42805720	42805720	0	0	nan
20180725-5-Liver-002-powder_S5_L001_R1_001.trim	26933538	0	0	0	0	13466769	0	13466769	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	26933538	0	26933538	0	nan	0	26933538	0	0	26933538	26933538	0	0	nan
20180725-6-Liver-002-powder_S6_L001_R1_001.trim	34348202	0	0	0	0	17174101	0	17174101	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	34348202	0	34348202	0	nan	0	34348202	0	0	34348202	34348202	0	0	nan
20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	36790978	0	0	0	0	18395489	0	18395489	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	36790978	0	36790978	0	nan	0	36790978	0	0	36790978	36790978	0	0	nan
20180731-8-Liver-001-powder_S8_L001_R1_001.trim	40995308	0	0	0	0	20497654	0	20497654	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	40995308	0	40995308	0	nan	0	40995308	0	0	40995308	40995308	0	0	nan
20180815-10-Heart-002-powder_S10_L001_R1_001.trim	33397660	0	0	0	0	16698830	0	16698830	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	33397660	0	33397660	0	nan	0	33397660	0	0	33397660	33397660	0	0	nan
20180815-11-Lung-002-piece_S11_L001_R1_001.trim	35668494	0	0	0	0	17834247	0	17834247	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	35668494	0	35668494	0	nan	0	35668494	0	0	35668494	35668494	0	0	nan
20180815-12-Lung-002-powder_S12_L001_R1_001.trim	38602298	0	0	0	0	19301149	0	19301149	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	38602298	0	38602298	0	nan	0	38602298	0	0	38602298	38602298	0	0	nan
20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	46925392	0	0	0	0	23462696	0	23462696	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	46925392	0	46925392	0	nan	0	46925392	0	0	46925392	46925392	0	0	nan
20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	35888884	0	0	0	0	17944442	0	17944442	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	35888884	0	35888884	0	nan	0	35888884	0	0	35888884	35888884	0	0	nan
20180815-9-Heart-002-piece_S9_L001_R1_001.trim	20877366	0	0	0	0	10438683	0	10438683	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	20877366	0	20877366	0	nan	0	20877366	0	0	20877366	20877366	0	0	nan
Undetermined_S0_L001_R1_001.trim	7688168	0	0	0	0	3844084	0	3844084	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	7688168	0	7688168	0	nan	0	7688168	0	0	7688168	7688168	0	0	nan
