Module	Section	Sample Name	Source
Picard	DuplicationMetrics	20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/8a87da27-621b-41ef-b82e-223078128a12/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-9-Heart-002-piece_S9_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/da7a41a2-1ed9-41d7-b602-851f19899fd4/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-9-Heart-002-piece_S9_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180725-6-Liver-002-powder_S6_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/f4ada2f7-669a-4ff2-805d-5a778d471396/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-6-Liver-002-powder_S6_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/874f710f-0803-4fcc-b5da-7e021ba697cd/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-13-Adipose-002-piece_S13_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180815-10-Heart-002-powder_S10_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/77791ec6-3030-4411-9ab4-4bc18d0e5529/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180815-10-Heart-002-powder_S10_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180404-3-muscle-1-5_S16_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/33d61113-de60-4c7f-81f2-cc936374b1cd/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180404-3-muscle-1-5_S16_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/72b96999-f8a9-45b2-8233-11a058e13f2b/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/baa110d0-64ff-4ecc-b8ed-39f44e09377f/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180720-5-muscle-frozen_S15_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/6bcc9e4b-c9e9-4375-abef-11b49b4b2e6b/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180720-5-muscle-frozen_S15_L001_R1_001.trim.merged.dup.qc
Picard	DuplicationMetrics	20180725-5-Liver-002-powder_S5_L001_R1_001.trim	/users/xli6/scripts/atacseq/atac_durga/pipeline_output/atac/da7e848b-ac3a-4a2f-b03e-cfbd590b5b40/call-filter/shard-0/execution/glob-1b4794e80f740fd50137e3a948d7ba79/20180725-5-Liver-002-powder_S5_L001_R1_001.trim.merged.dup.qc
